Date,A/D-line
1990-01-02,0.0
1990-01-03,11.0
1990-01-04,-37.0
1990-01-05,-117.0
1990-01-08,-86.0
1990-01-09,-219.0
1990-01-10,-305.0
1990-01-11,-257.0
1990-01-12,-473.0
1990-01-15,-594.0
1990-01-16,-512.0
1990-01-17,-584.0
1990-01-18,-595.0
1990-01-19,-570.0
1990-01-22,-770.0
1990-01-23,-792.0
1990-01-24,-878.0
1990-01-25,-982.0
1990-01-26,-1010.0
1990-01-29,-1068.0
1990-01-30,-1180.0
1990-01-31,-1025.0
1990-02-01,-1019.0
1990-02-02,-919.0
1990-02-05,-894.0
1990-02-06,-977.0
1990-02-07,-867.0
1990-02-08,-870.0
1990-02-09,-827.0
1990-02-12,-957.0
1990-02-13,-931.0
1990-02-14,-898.0
1990-02-15,-828.0
1990-02-16,-863.0
1990-02-20,-1045.0
1990-02-21,-1083.0
1990-02-22,-1102.0
1990-02-23,-1168.0
1990-02-26,-1082.0
1990-02-27,-987.0
1990-02-28,-888.0
1990-03-01,-818.0
1990-03-02,-705.0
1990-03-05,-768.0
1990-03-06,-636.0
1990-03-07,-639.0
1990-03-08,-517.0
1990-03-09,-584.0
1990-03-12,-575.0
1990-03-13,-658.0
1990-03-14,-591.0
1990-03-15,-548.0
1990-03-16,-421.0
1990-03-19,-386.0
1990-03-20,-462.0
1990-03-21,-527.0
1990-03-22,-683.0
1990-03-23,-603.0
1990-03-26,-556.0
1990-03-27,-449.0
1990-03-28,-455.0
1990-03-29,-510.0
1990-03-30,-514.0
1990-04-02,-595.0
1990-04-03,-445.0
1990-04-04,-538.0
1990-04-05,-538.0
1990-04-06,-604.0
1990-04-09,-580.0
1990-04-10,-562.0
1990-04-11,-555.0
1990-04-12,-468.0
1990-04-16,-440.0
1990-04-17,-452.0
1990-04-18,-580.0
1990-04-19,-688.0
1990-04-20,-798.0
1990-04-23,-957.0
1990-04-24,-990.0
1990-04-25,-931.0
1990-04-26,-912.0
1990-04-27,-1062.0
1990-04-30,-988.0
1990-05-01,-921.0
1990-05-02,-853.0
1990-05-03,-791.0
1990-05-04,-675.0
1990-05-07,-563.0
1990-05-08,-510.0
1990-05-09,-490.0
1990-05-10,-459.0
1990-05-11,-261.0
1990-05-14,-133.0
1990-05-15,-119.0
1990-05-16,-142.0
1990-05-17,-95.0
1990-05-18,-82.0
1990-05-21,33.0
1990-05-22,63.0
1990-05-23,110.0
1990-05-24,106.0
1990-05-25,-6.0
1990-05-29,135.0
1990-05-30,145.0
1990-05-31,142.0
1990-06-01,193.0
1990-06-04,346.0
1990-06-05,335.0
1990-06-06,285.0
1990-06-07,207.0
1990-06-08,59.0
1990-06-11,166.0
1990-06-12,286.0
1990-06-13,272.0
1990-06-14,221.0
1990-06-15,195.0
1990-06-18,16.0
1990-06-19,43.0
1990-06-20,28.0
1990-06-21,89.0
1990-06-22,-2.0
1990-06-25,-117.0
1990-06-26,-111.0
